run_id,stage,model_key,model_id,requested,successful,candidate_count,candidate_order,reasoning_effort,image_detail,temperature,output,prompt_provenance,predictions,caveat
openrouter_vlm_full,full,gemini_flash_lite,google/gemini-2.5-flash-lite,1899,1899,85,not persisted,n/a,provider default,0 (runner),strict JSON Top-5 (runner),reconstructed from current runner; historical request prompt not stored verbatim,outputs/openrouter_vlm_full/predictions.csv,Summary is authoritative; fields shown as not persisted are not inferred.
openrouter_vlm_full,full,gpt_5_4,openai/gpt-5.4,1899,1899,85,not persisted,not persisted,not persisted,0 (runner),strict JSON Top-5 (runner),reconstructed from current runner; historical request prompt not stored verbatim,outputs/openrouter_vlm_full/predictions.csv,Summary is authoritative; fields shown as not persisted are not inferred.
openrouter_vlm_pilot,pilot,gemini_flash_lite,google/gemini-2.5-flash-lite,63,63,85,not persisted,n/a,provider default,0 (runner),strict JSON Top-5 (runner),reconstructed from current runner; historical request prompt not stored verbatim,outputs/openrouter_vlm_pilot/predictions.csv,Summary is authoritative; fields shown as not persisted are not inferred.
openrouter_vlm_pilot,pilot,gpt_5_4,openai/gpt-5.4,63,56,85,not persisted,not persisted,not persisted,0 (runner),strict JSON Top-5 (runner),reconstructed from current runner; historical request prompt not stored verbatim,outputs/openrouter_vlm_pilot/predictions.csv,Summary is authoritative; fields shown as not persisted are not inferred.
openrouter_vlm_pilot_final,pilot,gemini_flash_lite,google/gemini-2.5-flash-lite,63,61,85,not persisted,n/a,provider default,0 (runner),strict JSON Top-5 (runner),reconstructed from current runner; historical request prompt not stored verbatim,outputs/openrouter_vlm_pilot_final/predictions.csv,Summary is authoritative; fields shown as not persisted are not inferred.
openrouter_vlm_pilot_final,pilot,gpt_5_4,openai/gpt-5.4,63,63,85,not persisted,not persisted,not persisted,0 (runner),strict JSON Top-5 (runner),reconstructed from current runner; historical request prompt not stored verbatim,outputs/openrouter_vlm_pilot_final/predictions.csv,Summary is authoritative; fields shown as not persisted are not inferred.
openrouter_vlm_pilot_gpt_high_audit,pilot,gpt_5_4,openai/gpt-5.4,63,2,85,not persisted,high,original,0 (runner),strict JSON Top-5 (runner),reconstructed from current runner; historical request prompt not stored verbatim,outputs/openrouter_vlm_pilot_gpt_high_audit/predictions.csv,Summary is authoritative; fields shown as not persisted are not inferred.
openrouter_vlm_pilot_gpt_high_valid,pilot,gpt_5_4,openai/gpt-5.4,63,12,85,not persisted,high,original,0 (runner),strict JSON Top-5 (runner),reconstructed from current runner; historical request prompt not stored verbatim,outputs/openrouter_vlm_pilot_gpt_high_valid/predictions.csv,Summary is authoritative; fields shown as not persisted are not inferred.
openrouter_vlm_smoke,smoke,gemini_flash_lite,google/gemini-2.5-flash-lite,3,3,85,not persisted,n/a,provider default,0 (runner),strict JSON Top-5 (runner),reconstructed from current runner; historical request prompt not stored verbatim,outputs/openrouter_vlm_smoke/predictions.csv,Summary is authoritative; fields shown as not persisted are not inferred.
openrouter_vlm_smoke,smoke,gpt_5_4,openai/gpt-5.4,3,3,85,not persisted,not persisted,not persisted,0 (runner),strict JSON Top-5 (runner),reconstructed from current runner; historical request prompt not stored verbatim,outputs/openrouter_vlm_smoke/predictions.csv,Summary is authoritative; fields shown as not persisted are not inferred.
openrouter_vlm_smoke_cached,smoke,gemini_flash_lite,google/gemini-2.5-flash-lite,3,3,85,not persisted,n/a,provider default,0 (runner),strict JSON Top-5 (runner),reconstructed from current runner; historical request prompt not stored verbatim,outputs/openrouter_vlm_smoke_cached/predictions.csv,Summary is authoritative; fields shown as not persisted are not inferred.
openrouter_vlm_smoke_cached,smoke,gpt_5_4,openai/gpt-5.4,3,3,85,not persisted,not persisted,not persisted,0 (runner),strict JSON Top-5 (runner),reconstructed from current runner; historical request prompt not stored verbatim,outputs/openrouter_vlm_smoke_cached/predictions.csv,Summary is authoritative; fields shown as not persisted are not inferred.
openrouter_vlm_smoke_final,smoke,gemini_flash_lite,google/gemini-2.5-flash-lite,3,3,85,not persisted,n/a,provider default,0 (runner),strict JSON Top-5 (runner),reconstructed from current runner; historical request prompt not stored verbatim,outputs/openrouter_vlm_smoke_final/predictions.csv,Summary is authoritative; fields shown as not persisted are not inferred.
