experiment_id,date_order,model,representation,task,dataset_split,candidate_set,prompt_protocol,metric,output_artifact,notes_caveats
bioclip_zs_full85,01,BioCLIP 2.5 ViT-H/14,biology-domain image-text,zero-shot species classification,"all 1,899 images / 85 species",85 scientific + vernacular aliases,closed-set cosine; truth loaded after predictions,Top-1 77.5%; Top-5 93.2%,outputs/bioclip25_baseline/summary.json,Image-level; no observation-disjoint filtering
dinov3_probe_strict63,02,DINOv3 ViT-B/16 LVD-1689M,general self-supervised CLS,frozen linear probe,"1,181 train / 249 val / 211 test; 63 species",63 species,observation-disjoint; C selected on val,Top-1 56.4%; Top-5 83.4%,outputs/dinov3_strict_embeddings/summary.json,"Test labels loaded after predictions; outputs/dinov3_strict_linear_probe is a duplicate export, not a separate run"
bioclip_zs_strict63,03,BioCLIP 2.5 ViT-H/14,biology-domain image-text,zero-shot species classification,211 strict test images / 63 observations,63 scientific + aliases,same strict test set; cosine softmax,Top-1 85.8%; Top-5 95.3%,outputs/bioclip25_strict_zero_shot/summary.json,Fair image/candidate comparison with strict probes
bioclip_probe_strict63,04,BioCLIP 2.5 ViT-H/14,biology-domain image embedding,frozen linear probe,"1,181 / 249 / 211; individual-disjoint",63 species,L2 embedding; multinomial LR; val C grid,Top-1 87.2%; Top-5 96.2%,outputs/bioclip25_strict_embeddings/summary.json,Paired delta vs zero-shot +1.4 pp; outputs/bioclip25_strict_linear_probe is a duplicate export
openrouter_smoke,05,GPT-5.4 + Gemini 2.5 Flash Lite,direct VLM,implementation smoke check,3 images,85 species,historical protocol partially recoverable from summary/raw response,Not a benchmark,outputs/openrouter_vlm_smoke/summary.json,Tiny operational run; retain negative/variable results; do not compare accuracy
openrouter_smoke_flex,06,GPT-5.4 + Gemini 2.5 Flash Lite,direct VLM,implementation smoke check,3 images,85 species,historical protocol partially recoverable from summary/raw response,Not a benchmark,outputs/openrouter_vlm_smoke_flex/summary.json,Tiny operational run; retain negative/variable results; do not compare accuracy
openrouter_smoke_minimal,07,GPT-5.4 + Gemini 2.5 Flash Lite,direct VLM,implementation smoke check,3 images,85 species,historical protocol partially recoverable from summary/raw response,Not a benchmark,outputs/openrouter_vlm_smoke_minimal/summary.json,Tiny operational run; retain negative/variable results; do not compare accuracy
openrouter_smoke_cached,08,GPT-5.4 + Gemini 2.5 Flash Lite,direct VLM,implementation smoke check,3 images,85 species,historical protocol partially recoverable from summary/raw response,Not a benchmark,outputs/openrouter_vlm_smoke_cached/summary.json,Tiny operational run; retain negative/variable results; do not compare accuracy
openrouter_smoke_unique,09,GPT-5.4 + Gemini 2.5 Flash Lite,direct VLM,implementation smoke check,3 images,85 species,historical protocol partially recoverable from summary/raw response,Not a benchmark,outputs/openrouter_vlm_smoke_unique/summary.json,Tiny operational run; retain negative/variable results; do not compare accuracy
openrouter_smoke_final,10,GPT-5.4 + Gemini 2.5 Flash Lite,direct VLM,implementation smoke check,3 images,85 species,historical protocol partially recoverable from summary/raw response,Not a benchmark,outputs/openrouter_vlm_smoke_final/summary.json,Tiny operational run; retain negative/variable results; do not compare accuracy
openrouter_pilot_per_image,11,GPT-5.4 + Gemini 2.5 Flash Lite,direct VLM,63-species pilot,63 images; one per strict held-out observation,85 species; per-image deterministic order,temperature 0; strict JSON Top-5,GPT 16/63; Gemini 22/63 Top-1,outputs/openrouter_vlm_pilot/summary.json,GPT only 56/63 successful; denominator in summary remains 63
openrouter_pilot_fixed,12,GPT-5.4 + Gemini 2.5 Flash Lite,direct VLM,63-species pilot,63 images; same pilot selection,85 species; fixed deterministic order,minimal reasoning; auto detail; strict JSON,GPT 20/63; Gemini 23/63 Top-1,outputs/openrouter_vlm_pilot_final/summary.json,Gemini 61/63 successful
gpt_high_audit,13,GPT-5.4,direct VLM,reasoning protocol audit,63 requested,85 species; fixed order,"high reasoning; original detail; 2,000-token cap",2/63 successful,outputs/openrouter_vlm_pilot_gpt_high_audit/summary.json,Negative operational result; most responses had null content
gpt_high_valid,14,GPT-5.4,direct VLM,reasoning protocol audit,63 requested,85 species; fixed order,"high reasoning; original detail; 2,000-token cap",12/63 successful; 7/12 correct,outputs/openrouter_vlm_pilot_gpt_high_valid/summary.json,Inconclusive: completion subset is non-random
